epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.2195,1.07203,0.68482,1,0.79632,0.00999167,0.00333056,0.00999167,0.00333056,0.00999167,0.00333056,0.00999167,0.00333056
2,82.6349,0.85011,0.72599,1,0.75003,0.0197938,0.00659792,0.0197938,0.00659792,0.0197938,0.00659792,0.0197938,0.00659792
3,116.103,0.82106,0.72079,1,0.71997,0.0293978,0.00979928,0.0293978,0.00979928,0.0293978,0.00979928,0.0293978,0.00979928
4,147.485,0.79707,0.74366,1,0.6419,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,179.207,0.71728,0.75759,1,0.63704,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,209.877,0.68374,0.77568,1,0.58509,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,240.798,0.65038,0.77755,1,0.58392,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,271.414,0.6324,0.78836,1,0.5572,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,301.605,0.61712,0.7948,1,0.5386,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,331.382,0.601,0.79231,1,0.53591,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,362.306,0.5958,0.78669,1,0.55017,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,393.153,0.57608,0.80603,1,0.50745,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,424.824,0.57254,0.80894,1,0.50675,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,456.312,0.56353,0.81019,1,0.50701,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,487.976,0.54716,0.81455,1,0.49871,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,519.187,0.54393,0.81372,1,0.49415,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,549.716,0.54384,0.81601,1,0.48685,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,581.307,0.52994,0.8183,1,0.47794,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,612.708,0.526,0.82432,1,0.47419,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,643.949,0.51953,0.82432,1,0.46928,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,675.58,0.51653,0.82412,1,0.47035,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,706.662,0.51787,0.82225,1,0.47362,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,737.468,0.50518,0.82453,1,0.47254,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,768.276,0.50453,0.83139,1,0.45753,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,798.997,0.4926,0.82786,1,0.46412,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,829.984,0.49581,0.83077,1,0.45762,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,861.725,0.48123,0.83514,1,0.45701,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,892.93,0.47943,0.83056,1,0.44911,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
